Item,Price,Company,Heat,Date
WD Blue 3D NAND SATA SSD M.2 2280 2TB - WD Direct,170.0,Western Digital Shop,268.0,2020-10-14 00:00:00.000000
Roku Express | HD Streaming Media Player | - Prime Exclusive @ Amazon,17.0,Amazon,636.0,2020-10-14 00:00:00.000000
"AhaStyle ABS ECHO DOT 3rd Gen, Wall Mount Stand Hanger/Holde Sold by SOUNDCOCO and Fulfilled by Amazon Prime",7.0,Amazon,205.0,2020-10-14 00:00:00.000000
Viewsonic M1 Mini Portable Projector Tesco,75.0,Tesco,208.0,2020-10-14 00:00:00.000000
"TP-Link Tapo Smart Bulb, Wi-Fi Smart Switch, B22, 8.7 W, Works with Amazon Alexa & Google Home (Tapo L510B) Amazon",8.0,Amazon,412.0,2020-10-14 00:00:00.000000
Apple Watch SE 40 mm GPS (2020 ) All Colours - With @ AO / Ebay,247.0,eBay,490.0,2020-10-14 00:00:00.000000
"Crucial Ballistix 16GB Kit (2 x 8GB) DDR4-3200MHz, CL16, Red - Delivered @ Amazon Prime",44.0,Amazon,884.0,2020-10-14 00:00:00.000000
T6 Plus Updated Edition Bluetooth Speaker Sold by TopYuan and Fulfilled by Amazon Prime,42.0,Amazon,152.0,2020-10-14 00:00:00.000000
WD Blue 3D NAND SATA SSD M.2 2280 2TB - at Amazon Prime,170.0,Amazon,288.0,2020-10-14 00:00:00.000000
WD BLACK SN750 NVMe SSD 1TB - @ Western Digital Shop,120.0,Western Digital Shop,258.0,2020-10-14 00:00:00.000000
Apple Watch SE 40mm GPS - using @ Currys PC World / eBay,256.0,eBay,220.0,2020-10-14 00:00:00.000000
Google Pixel 4 64gb @ google store,439.0,Google Store,241.0,2020-10-14 00:00:00.000000
Oculus Quest USB-C Link Cable - + free Click and Collect @ Argos,50.0,Argos,208.0,2020-10-14 00:00:00.000000
Govee Bluetooth RGB Light Strip With Music Sync / Remote & App Control - Prime Exclusive - Govee UK / Fulfilled by Amazon.,21.0,Amazon,211.0,2020-10-14 00:00:00.000000
Soundcore 2 Wireless Speaker (use code) Sold by AnkerDirect and Fulfilled by Amazon (Prime Exclusive),27.0,Amazon,212.0,2020-10-14 00:00:00.000000
Bonus on spending at Topcashback. Exclusive Email Only Offer,15.0,Topcashback,331.0,2020-10-14 00:00:00.000000
iPhone SE 64Gb - at John Lewis & Partners,379.0,John Lewis,322.0,2020-10-14 00:00:00.000000
Tenda PH3 1000Mbps Powerline Adapter Kit - @ Amazon Prime,25.0,Amazon,275.0,2020-10-14 00:00:00.000000
Amazon Echo 3rd Gen Charcoal Screwfix click & collect,50.0,Screwfix,312.0,2020-10-14 00:00:00.000000
"1TB WD Blue 3D NAND Internal SSD M.2 SATA Drive, at Western Digital Shop",78.0,Western Digital Shop,418.0,2020-10-14 00:00:00.000000
TP-LINK Archer AX10 AX1500 Next-Gen WI-FI 6 Router @ Box,79.0,Box.co.uk,218.0,2020-10-14 00:00:00.000000
